split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,raw_only,dummy_mean,overall,overall,12500,0.10567117443437499,0.1383855342992839,-5.891310098204983e-06
validation,raw_only,dummy_mean,family,clean_control,606,0.09195765254357466,0.10657962597029302,-1.0914470158617493
validation,raw_only,dummy_mean,family,decoherence_sensitive,1170,0.10635453572382476,0.12145110915585024,-0.2234273309156265
validation,raw_only,dummy_mean,family,entanglement_heavy,1277,0.1697293327791577,0.21462051278588884,-0.20416081750851056
validation,raw_only,dummy_mean,family,ghz_cat,1345,0.06873295152038801,0.08304824131442952,-0.0032337442452901044
validation,raw_only,dummy_mean,family,measurement_sensitive,1060,0.11181074823113206,0.1312455861371567,-0.11278083102929215
validation,raw_only,dummy_mean,family,mirror_circuit,1088,0.06889291640337773,0.07912160325996816,-0.8259585797283211
validation,raw_only,dummy_mean,family,mixed_random,784,0.08680461064552773,0.1010773384227426,-0.8448581661602461
validation,raw_only,dummy_mean,family,qaoa_like,1381,0.17649868622290235,0.22366372236418267,-0.25325740945168795
validation,raw_only,dummy_mean,family,qft_lite,1140,0.0849381605674342,0.10015298192000749,-0.25054857785583673
validation,raw_only,dummy_mean,family,routing_sensitive,1265,0.06459956524055088,0.08328742496474158,-0.2158095668453539
validation,raw_only,dummy_mean,family,trotter_ising,1384,0.1067312274346324,0.13377499396775008,-0.024709703906808933
validation,raw_only,dummy_mean,qubit_count,2,1280,0.1279728792419433,0.13451120547772147,-9.522413974386994
validation,raw_only,dummy_mean,qubit_count,3,2718,0.10114801877816866,0.11178383856108436,-3.3559232897777003
validation,raw_only,dummy_mean,qubit_count,4,3127,0.06582028277215081,0.07790807973709724,-0.2991819679536829
validation,raw_only,dummy_mean,qubit_count,5,3053,0.07713944124823433,0.09970267139857593,-0.21788769273150677
validation,raw_only,dummy_mean,qubit_count,6,2322,0.1898524296303026,0.23926646819991587,-1.3765043787572466
validation,raw_only,dummy_mean,compiler_variant,raw,12500,0.10567117443437499,0.1383855342992839,-5.891310098204983e-06
validation,raw_only,dummy_mean,difficulty_bucket,q1,3491,0.07405898090905631,0.08861610389852627,-0.15918229984008292
validation,raw_only,dummy_mean,difficulty_bucket,q2,2974,0.09447219841490835,0.11264879271648337,-0.18438234813803356
validation,raw_only,dummy_mean,difficulty_bucket,q3,3184,0.10989865718362318,0.14033572376760725,-0.008439928307467648
validation,raw_only,dummy_mean,difficulty_bucket,q4,2851,0.1513406297851905,0.19778003005149658,-0.161295413389013
test,raw_only,dummy_mean,overall,overall,12500,0.10417718738281248,0.13512545513605365,-0.00012539148946144607
test,raw_only,dummy_mean,family,clean_control,635,0.09381809062807578,0.10754821577620609,-1.0099256082233738
test,raw_only,dummy_mean,family,decoherence_sensitive,1172,0.10449338233921714,0.11911987038813492,-0.2601683227290137
test,raw_only,dummy_mean,family,entanglement_heavy,1256,0.16593622938022493,0.21141030596399044,-0.17176197845606112
test,raw_only,dummy_mean,family,ghz_cat,1357,0.06903866782338107,0.08484735669920976,-0.0012451051551387593
test,raw_only,dummy_mean,family,measurement_sensitive,1070,0.11300748296948013,0.13092100894456443,-0.1750071194973135
test,raw_only,dummy_mean,family,mirror_circuit,1111,0.0695735601108939,0.08003212904640855,-0.7855430899982463
test,raw_only,dummy_mean,family,mixed_random,781,0.08764112897377158,0.10196640683296251,-0.8966421203848172
test,raw_only,dummy_mean,family,qaoa_like,1380,0.16316153525532157,0.20679996433321315,-0.1868676620555425
test,raw_only,dummy_mean,family,qft_lite,1142,0.08211012936460158,0.09827378430261101,-0.19741849546879497
test,raw_only,dummy_mean,family,routing_sensitive,1218,0.0667869907443042,0.08404564974325955,-0.2622479594878371
test,raw_only,dummy_mean,family,trotter_ising,1378,0.10967455689008072,0.13770211095919346,-0.04815941212399477
test,raw_only,dummy_mean,qubit_count,2,1295,0.13019865858017612,0.1368515658106487,-9.493451634665096
test,raw_only,dummy_mean,qubit_count,3,2763,0.10184382018313991,0.11274346067723034,-3.3752312127439312
test,raw_only,dummy_mean,qubit_count,4,3070,0.06472840383245113,0.07632161689892765,-0.25820449012425595
test,raw_only,dummy_mean,qubit_count,5,3090,0.07713779451102347,0.09893040116203165,-0.23768397193804858
test,raw_only,dummy_mean,qubit_count,6,2282,0.18191985953248255,0.23001821116885754,-1.3124091287992137
test,raw_only,dummy_mean,compiler_variant,raw,12500,0.10417718738281248,0.13512545513605365,-0.00012539148946144607
test,raw_only,dummy_mean,difficulty_bucket,q1,3519,0.07494918315361696,0.09005551254666656,-0.12524831467020947
test,raw_only,dummy_mean,difficulty_bucket,q2,2948,0.09431373290021834,0.1128139644360985,-0.18643246367749788
test,raw_only,dummy_mean,difficulty_bucket,q3,3255,0.10738201391189037,0.13590612875833613,-0.003531128386651261
test,raw_only,dummy_mean,difficulty_bucket,q4,2778,0.14791336461286222,0.19167000076081223,-0.15019296772649282
validation,raw_only,ridge_regression,overall,overall,12500,0.047851204240003935,0.06248948670256604,0.7960916156964123
validation,raw_only,ridge_regression,family,clean_control,606,0.04392678111333379,0.055326246976221835,0.4364130798343211
validation,raw_only,ridge_regression,family,decoherence_sensitive,1170,0.05014027037339879,0.06440222824663241,0.6559853045198895
